City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Norman Wells,CA,65.28,-126.83,57.2,93,75,3.36,07/16/20
Rikitea,PF,-23.12,-134.97,73.6,87,100,2.82,07/16/20
Mataura,NZ,-46.19,168.86,34.5,94,7,2.39,07/16/20
Umm Kaddadah,SD,13.6,26.69,84.27,50,99,13.49,07/16/20
Upernavik,GL,72.79,-56.15,42.8,86,95,1.36,07/16/20
Husavik,IS,66.04,-17.34,53.6,76,75,6.93,07/16/20
Camocim,BR,-2.9,-40.84,74.53,87,85,12.71,07/16/20
Lompoc,US,34.64,-120.46,57.2,87,6,3.36,07/16/20
Altamira,BR,-3.2,-52.21,69.85,97,5,2.62,07/16/20
Cetraro,IT,39.52,15.94,82.0,45,0,3.0,07/16/20
Mahébourg,MU,-20.41,57.7,75.2,64,40,11.41,07/16/20
Arnedo,ES,42.22,-2.1,64.4,67,20,12.75,07/16/20
San Quintín,MX,30.48,-115.95,65.52,88,13,11.65,07/16/20
Cape Town,ZA,-33.93,18.42,52.0,87,0,3.36,07/16/20
Jamestown,US,42.1,-79.24,71.01,68,1,10.29,07/16/20
Puerto Ayora,EC,-0.74,-90.35,66.0,92,13,4.81,07/16/20
Ribeira Grande,PT,38.52,-28.7,69.8,77,75,9.17,07/16/20
Kapaa,US,22.08,-159.32,78.8,78,90,14.99,07/16/20
North Bend,US,43.41,-124.22,59.0,100,75,13.87,07/16/20
Inuvik,CA,68.35,-133.72,55.4,71,75,9.17,07/16/20
Pevek,RU,69.7,170.31,48.11,91,100,1.72,07/16/20
Vaini,TO,-21.2,-175.2,75.2,83,75,6.93,07/16/20
Oktyabr'skoye,RU,43.06,44.74,80.6,54,20,6.71,07/16/20
Namatanai,PG,-3.67,152.43,81.01,79,17,6.58,07/16/20
Hambantota,LK,6.12,81.12,86.0,79,75,19.46,07/16/20
Tasiilaq,GL,65.61,-37.64,44.6,70,0,5.82,07/16/20
Atuona,PF,-9.8,-139.03,79.38,79,12,18.57,07/16/20
Rio Claro,BR,-22.41,-47.56,52.14,94,1,3.6,07/16/20
Ushuaia,AR,-54.8,-68.3,28.4,86,40,4.7,07/16/20
Alenquer,BR,-1.94,-54.74,75.2,94,19,4.7,07/16/20
Bandar-e Lengeh,IR,26.56,54.88,100.4,50,0,13.87,07/16/20
Hithadhoo,MV,-0.6,73.08,83.88,71,100,2.42,07/16/20
Millinocket,US,45.66,-68.71,48.2,93,1,2.42,07/16/20
Touros,BR,-5.2,-35.46,69.8,100,20,4.7,07/16/20
Bisira,PA,8.52,-81.71,58.42,100,76,6.4,07/16/20
